County,Per Capita Income,Total Personal Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty
Loving,56730.00,8623000.00,78637.00,51219.00,3.3,9.6
Lubbock,42569.00,13086192000.00,50377.00,43951.00,17.6,20.3
Lynn,33119.00,194638000.00,43436.00,47796.00,18.3,26.8
Madison,30435.00,438937000.00,45445.00,38112.00,17.9,23.4
Marion,38063.00,377893000.00,38011.00,33565.00,21.9,34
Martin,56021.00,322287000.00,56484.00,54456.00,13.6,19.6
Mason,44601.00,190894000.00,49560.00,34243.00,12.7,23.4
Matagorda,40596.00,1483848000.00,48830.00,56438.00,18.4,27.8
Maverick,30505.00,1784103000.00,35594.00,34102.00,25.9,35
McCulloch,37927.00,302921000.00,42719.00,42226.00,18.5,28.2
McLennan,41254.00,10503574000.00,48858.00,46345.00,18.9,23.4
McMullen,72150.00,54040000.00,64633.00,53682.00,11.1,15.9
Medina,39403.00,2006434000.00,59304.00,37513.00,12.3,17.9
Menard,35311.00,75530000.00,35881.00,28493.00,21.6,40.8
Midland,124455.00,21478156000.00,80189.00,75220.00,10.1,13.5
Milam,36135.00,908101000.00,46720.00,41591.00,15.6,25.4
Mills,37153.00,182832000.00,47068.00,33402.00,14.6,24.6
Mitchell,31913.00,259929000.00,48529.00,45356.00,21.4,26.7
Montague,42074.00,824484000.00,50542.00,41779.00,13.8,20.9
Montgomery,63605.00,37585521000.00,77598.00,56210.00,9.3,12.9
Moore,41275.00,886792000.00,53785.00,46724.00,12.2,16.8
Morris,43421.00,535768000.00,41418.00,52675.00,20.2,31.1
Motley,28938.00,35710000.00,41009.00,28729.00,17.8,30.3
Nacogdoches,37755.00,2480887000.00,45357.00,37636.00,21.6,25.5
Navarro,37922.00,1879580000.00,46259.00,38513.00,20,27.7
Newton,33350.00,458423000.00,43367.00,36652.00,22.3,29.2
Nolan,43087.00,635579000.00,42522.00,43186.00,18.2,26.5
Nueces,44378.00,16076668000.00,53034.00,47777.00,16.2,22.6
Ochiltree,57287.00,569833000.00,49845.00,49209.00,10.5,15.7
Oldham,49120.00,104674000.00,56590.00,41415.00,13,25.4
Orange,44938.00,3755583000.00,56556.00,53149.00,13.4,20.1
Palo Pinto,39125.00,1129721000.00,46067.00,45001.00,15.9,25
Panola,43508.00,1007115000.00,51192.00,47910.00,15.7,25.9
Parker,53289.00,7373626000.00,73718.00,46502.00,8.3,11.5
Parmer,44981.00,443690000.00,50539.00,42659.00,13.5,19.2
Pecos,36584.00,573380000.00,47008.00,47626.00,19.5,24.3
Polk,39438.00,1973118000.00,46017.00,39945.00,15,24.7
Potter,43945.00,5257978000.00,41912.00,45397.00,19.7,27.7
Presidio,42848.00,297710000.00,37738.00,41460.00,22.4,35.2
Rains,33602.00,408566000.00,47572.00,32814.00,14.5,23.7
Randall,47966.00,6536422000.00,69600.00,44092.00,8.5,11.4
Reagan,48253.00,180515000.00,65273.00,61452.00,10,13.5
Real,34687.00,120642000.00,39506.00,26667.00,18.1,35.6
Red River,40648.00,494889000.00,42233.00,34602.00,18.2,28.6
Reeves,39418.00,618668000.00,45341.00,60934.00,21.5,21.9
Refugio,42606.00,299607000.00,44821.00,40682.00,16.3,25.5
